province,effectiveincometax,incomeadjusted
Yukon,0,1000
Yukon,0,1100
Yukon,0,1200
Yukon,0,1300
Yukon,0,1400
Yukon,0,1500
Yukon,0,1600
Yukon,0,1700
Yukon,0,1800
Yukon,0,1900
Yukon,0,2000
Yukon,0,2100
Yukon,0,2200
Yukon,0,2300
Yukon,0,2400
Yukon,0,2500
Yukon,0,2600
Yukon,0,2700
Yukon,0,2800
Yukon,0,2900
Yukon,0,3000
Yukon,0,3100
Yukon,0,3200
Yukon,0,3300
Yukon,0,3400
Yukon,0,3500
Yukon,0,3600
Yukon,0,3700
Yukon,0,3800
Yukon,0,3900
Yukon,0,4000
Yukon,0,4100
Yukon,0,4200
Yukon,0,4300
Yukon,0,4400
Yukon,0,4500
Yukon,0,4600
Yukon,0,4700
Yukon,0,4800
Yukon,0,4900
Yukon,0,5000
Yukon,0,5100
Yukon,0,5200
Yukon,0,5300
Yukon,0,5400
Yukon,0,5500
Yukon,0,5600
Yukon,0,5700
Yukon,0,5800
Yukon,0,5900
Yukon,0,6000
Yukon,0,6100
Yukon,0,6200
Yukon,0,6300
Yukon,0,6400
Yukon,0,6500
Yukon,0,6600
Yukon,0,6700
Yukon,0,6800
Yukon,0,6900
Yukon,0,7000
Yukon,0,7100
Yukon,0,7200
Yukon,0,7300
Yukon,0,7400
Yukon,0,7500
Yukon,0,7600
Yukon,0,7700
Yukon,0,7800
Yukon,0,7900
Yukon,0,8000
Yukon,0,8100
Yukon,0,8200
Yukon,0,8300
Yukon,0,8400
Yukon,0,8500
Yukon,0,8600
Yukon,0.06,8700
Yukon,0.3,8800
Yukon,0.55,8900
Yukon,0.78,9000
Yukon,1.01,9100
Yukon,1.24,9200
Yukon,1.46,9300
Yukon,1.68,9400
Yukon,1.89,9500
Yukon,2.1,9600
Yukon,2.3,9700
Yukon,2.5,9800
Yukon,2.7,9900
Yukon,2.89,10000
Yukon,4.61,11000
Yukon,6.32,12000
Yukon,8.01,13000
Yukon,9.45,14000
Yukon,10.7,15000
Yukon,11.8,16000
Yukon,12.77,17000
Yukon,13.63,18000
Yukon,14.4,19000
Yukon,15.09,20000
Yukon,15.71,21000
Yukon,16.28,22000
Yukon,16.8,23000
Yukon,17.28,24000
Yukon,17.71,25000
Yukon,18.12,26000
Yukon,18.49,27000
Yukon,18.84,28000
Yukon,19.17,29000
Yukon,19.47,30000
Yukon,19.75,31000
Yukon,20.02,32000
Yukon,20.26,33000
Yukon,20.5,34000
Yukon,20.72,35000
Yukon,20.93,36000
Yukon,21.13,37000
Yukon,21.31,38000
Yukon,21.49,39000
Yukon,21.65,40000
Yukon,21.82,41000
Yukon,21.97,42000
Yukon,22.11,43000
Yukon,22.25,44000
Yukon,22.39,45000
Yukon,22.64,46000
Yukon,22.93,47000
Yukon,23.21,48000
Yukon,23.48,49000
Yukon,23.74,50000
Yukon,23.97,51000
Yukon,24.17,52000
Yukon,24.37,53000
Yukon,24.56,54000
Yukon,24.72,55000
Yukon,24.82,56000
Yukon,24.9,57000
Yukon,24.97,58000
Yukon,25.05,59000
Yukon,25.12,60000
Yukon,25.46,65000
Yukon,25.75,70000
Yukon,26,75000
Yukon,26.22,80000
Yukon,26.41,85000
Yukon,26.59,90000
Yukon,27.09,95000
Yukon,27.58,100000
Yukon,28.02,105000
Yukon,28.42,110000
Yukon,28.79,115000
Yukon,29.13,120000
Yukon,29.44,125000
Yukon,29.73,130000
Yukon,29.99,135000
Yukon,30.24,140000
Yukon,30.63,145000
Yukon,31,150000
Yukon,31.35,155000
Yukon,31.67,160000
Yukon,31.98,165000
Yukon,32.26,170000
Yukon,32.54,175000
Yukon,32.8,180000
Yukon,33.04,185000
Yukon,33.27,190000
Yukon,33.49,195000
Yukon,33.7,200000
Yukon,34,205000
Yukon,34.27,210000
Yukon,34.54,215000
Yukon,34.8,220000
Yukon,35.04,225000
Yukon,35.28,230000
Yukon,35.5,235000
Yukon,35.72,240000
Yukon,35.92,245000
Yukon,36.12,250000
Yukon,36.31,255000
Yukon,36.49,260000
Yukon,36.66,265000
Yukon,36.84,270000
Yukon,37,275000
Yukon,37.16,280000
Yukon,37.31,285000
Yukon,37.46,290000
Yukon,37.59,295000
Yukon,37.73,300000
Yukon,37.86,305000
Yukon,37.99,310000
Yukon,38.12,315000
Yukon,38.23,320000
Yukon,38.35,325000
Yukon,38.46,330000
Yukon,38.58,335000
Yukon,38.68,340000
Yukon,38.78,345000
Yukon,38.88,350000
Yukon,38.99,355000
Yukon,39.08,360000
Yukon,39.16,365000
Yukon,39.26,370000
Yukon,39.35,375000
Yukon,39.43,380000
Yukon,39.51,385000
Yukon,39.59,390000
Yukon,39.68,395000
Yukon,39.75,400000
Yukon,39.82,405000
Yukon,39.89,410000
Yukon,39.97,415000
Yukon,40.04,420000
Yukon,40.11,425000
Yukon,40.17,430000
Yukon,40.23,435000
Yukon,40.3,440000
Yukon,40.36,445000
Yukon,40.42,450000
Yukon,40.48,455000
Yukon,40.54,460000
Yukon,40.6,465000
Yukon,40.65,470000
Yukon,40.7,475000
Yukon,40.76,480000
Yukon,40.81,485000
Yukon,40.86,490000
Yukon,40.91,495000
Yukon,40.96,500000
Saskatchewan,0,1000
Saskatchewan,0,1100
Saskatchewan,0,1200
Saskatchewan,0,1300
Saskatchewan,0,1400
Saskatchewan,0,1500
Saskatchewan,0,1600
Saskatchewan,0,1700
Saskatchewan,0,1800
Saskatchewan,0,1900
Saskatchewan,0,2000
Saskatchewan,0,2100
Saskatchewan,0,2200
Saskatchewan,0,2300
Saskatchewan,0,2400
Saskatchewan,0,2500
Saskatchewan,0,2600
Saskatchewan,0,2700
Saskatchewan,0,2800
Saskatchewan,0,2900
Saskatchewan,0,3000
Saskatchewan,0,3100
Saskatchewan,0,3200
Saskatchewan,0,3300
Saskatchewan,0,3400
Saskatchewan,0,3500
Saskatchewan,0,3600
Saskatchewan,0,3700
Saskatchewan,0,3800
Saskatchewan,0,3900
Saskatchewan,0,4000
Saskatchewan,0,4100
Saskatchewan,0,4200
Saskatchewan,0,4300
Saskatchewan,0,4400
Saskatchewan,0,4500
Saskatchewan,0,4600
Saskatchewan,0,4700
Saskatchewan,0,4800
Saskatchewan,0,4900
Saskatchewan,0,5000
Saskatchewan,0,5100
Saskatchewan,0,5200
Saskatchewan,0,5300
Saskatchewan,0,5400
Saskatchewan,0,5500
Saskatchewan,0,5600
Saskatchewan,0,5700
Saskatchewan,0,5800
Saskatchewan,0,5900
Saskatchewan,0,6000
Saskatchewan,0,6100
Saskatchewan,0,6200
Saskatchewan,0,6300
Saskatchewan,0,6400
Saskatchewan,0,6500
Saskatchewan,0,6600
Saskatchewan,0,6700
Saskatchewan,0,6800
Saskatchewan,0,6900
Saskatchewan,0,7000
Saskatchewan,0,7100
Saskatchewan,0,7200
Saskatchewan,0,7300
Saskatchewan,0,7400
Saskatchewan,0,7500
Saskatchewan,0,7600
Saskatchewan,0,7700
Saskatchewan,0,7800
Saskatchewan,0,7900
Saskatchewan,0,8000
Saskatchewan,0,8100
Saskatchewan,0,8200
Saskatchewan,0,8300
Saskatchewan,0,8400
Saskatchewan,0,8500
Saskatchewan,0,8600
Saskatchewan,0.06,8700
Saskatchewan,0.3,8800
Saskatchewan,0.55,8900
Saskatchewan,0.78,9000
Saskatchewan,1.01,9100
Saskatchewan,1.24,9200
Saskatchewan,1.46,9300
Saskatchewan,1.68,9400
Saskatchewan,1.89,9500
Saskatchewan,2.1,9600
Saskatchewan,2.3,9700
Saskatchewan,2.5,9800
Saskatchewan,2.7,9900
Saskatchewan,2.89,10000
Saskatchewan,4.61,11000
Saskatchewan,6.04,12000
Saskatchewan,7.26,13000
Saskatchewan,8.3,14000
