province,effectiveincometax,incomeadjusted
Yukon,0,1000
Yukon,0,1100
Yukon,0,1200
Yukon,0,1300
Yukon,0,1400
Yukon,0,1500
Yukon,0,1600
Yukon,0,1700
Yukon,0,1800
Yukon,0,1900
Yukon,0,2000
Yukon,0,2100
Yukon,0,2200
Yukon,0,2300
Yukon,0,2400
Yukon,0,2500
Yukon,0,2600
Yukon,0,2700
Yukon,0,2800
Yukon,0,2900
Yukon,0,3000
Yukon,0,3100
Yukon,0,3200
Yukon,0,3300
Yukon,0,3400
Yukon,0,3500
Yukon,0,3600
Yukon,0,3700
Yukon,0,3800
Yukon,0,3900
Yukon,0,4000
Yukon,0,4100
Yukon,0,4200
Yukon,0,4300
Yukon,0,4400
Yukon,0,4500
Yukon,0,4600
Yukon,0,4700
Yukon,0,4800
Yukon,0,4900
Yukon,0,5000
Yukon,0,5100
Yukon,0,5200
Yukon,0,5300
Yukon,0,5400
Yukon,0,5500
Yukon,0,5600
Yukon,0,5700
Yukon,0,5800
Yukon,0,5900
Yukon,0,6000
Yukon,0,6100
Yukon,0,6200
Yukon,0,6300
Yukon,0,6400
Yukon,0,6500
Yukon,0,6600
Yukon,0,6700
Yukon,0,6800
Yukon,0,6900
Yukon,0,7000
Yukon,0,7100
Yukon,0,7200
Yukon,0,7300
Yukon,0,7400
Yukon,0,7500
Yukon,0,7600
Yukon,0,7700
Yukon,0,7800
Yukon,0,7900
Yukon,0,8000
Yukon,0,8100
Yukon,0,8200
Yukon,0,8300
Yukon,0,8400
Yukon,0,8500
Yukon,0,8600
Yukon,0,8700
Yukon,0,8800
Yukon,0,8900
Yukon,0,9000
Yukon,0,9100
Yukon,0,9200
Yukon,0,9300
Yukon,0,9400
Yukon,0,9500
Yukon,0,9600
Yukon,0,9700
Yukon,0,9800
Yukon,0,9900
Yukon,0,10000
Yukon,0,11000
Yukon,0.28,12000
Yukon,0.75,13000
Yukon,1.15,14000
Yukon,1.5,15000
Yukon,1.81,16000
Yukon,2.08,17000
Yukon,2.32,18000
Yukon,2.54,19000
Yukon,2.73,20000
Yukon,2.9,21000
Yukon,3.06,22000
Yukon,3.21,23000
Yukon,3.34,24000
Yukon,3.46,25000
Yukon,3.58,26000
Yukon,3.68,27000
Yukon,3.78,28000
Yukon,3.87,29000
Yukon,3.95,30000
Yukon,4.03,31000
Yukon,4.11,32000
Yukon,4.17,33000
Yukon,4.24,34000
Yukon,4.3,35000
Yukon,4.36,36000
Yukon,4.42,37000
Yukon,4.47,38000
Yukon,4.52,39000
Yukon,4.56,40000
Yukon,4.61,41000
Yukon,4.65,42000
Yukon,4.69,43000
Yukon,4.73,44000
Yukon,4.77,45000
Yukon,4.84,46000
Yukon,4.93,47000
Yukon,5.02,48000
Yukon,5.1,49000
Yukon,5.18,50000
Yukon,5.25,51000
Yukon,5.32,52000
Yukon,5.39,53000
Yukon,5.46,54000
Yukon,5.52,55000
Yukon,5.59,56000
Yukon,5.65,57000
Yukon,5.7,58000
Yukon,5.76,59000
Yukon,5.81,60000
Yukon,6.06,65000
Yukon,6.27,70000
Yukon,6.45,75000
Yukon,6.61,80000
Yukon,6.75,85000
Yukon,6.88,90000
Yukon,7.08,95000
Yukon,7.27,100000
Yukon,7.44,105000
Yukon,7.6,110000
Yukon,7.74,115000
Yukon,7.87,120000
Yukon,7.99,125000
Yukon,8.11,130000
Yukon,8.21,135000
Yukon,8.31,140000
Yukon,8.46,145000
Yukon,8.6,150000
Yukon,8.74,155000
Yukon,8.86,160000
Yukon,8.98,165000
Yukon,9.09,170000
Yukon,9.2,175000
Yukon,9.3,180000
Yukon,9.39,185000
Yukon,9.48,190000
Yukon,9.57,195000
Yukon,9.65,200000
Yukon,9.73,205000
Yukon,9.8,210000
Yukon,9.87,215000
Yukon,9.94,220000
Yukon,10,225000
Yukon,10.06,230000
Yukon,10.12,235000
Yukon,10.18,240000
Yukon,10.23,245000
Yukon,10.28,250000
Yukon,10.33,255000
Yukon,10.38,260000
Yukon,10.42,265000
Yukon,10.47,270000
Yukon,10.51,275000
Yukon,10.55,280000
Yukon,10.59,285000
Yukon,10.63,290000
Yukon,10.66,295000
Yukon,10.7,300000
Yukon,10.73,305000
Yukon,10.77,310000
Yukon,10.8,315000
Yukon,10.83,320000
Yukon,10.86,325000
Yukon,10.89,330000
Yukon,10.92,335000
Yukon,10.95,340000
Yukon,10.97,345000
Yukon,11,350000
Yukon,11.03,355000
Yukon,11.05,360000
Yukon,11.07,365000
Yukon,11.1,370000
Yukon,11.12,375000
Yukon,11.14,380000
Yukon,11.16,385000
Yukon,11.18,390000
Yukon,11.21,395000
Yukon,11.23,400000
Yukon,11.24,405000
Yukon,11.26,410000
Yukon,11.28,415000
Yukon,11.3,420000
Yukon,11.32,425000
Yukon,11.33,430000
Yukon,11.35,435000
Yukon,11.37,440000
Yukon,11.38,445000
Yukon,11.4,450000
Yukon,11.42,455000
Yukon,11.43,460000
Yukon,11.45,465000
Yukon,11.46,470000
Yukon,11.47,475000
Yukon,11.49,480000
Yukon,11.5,485000
Yukon,11.51,490000
Yukon,11.53,495000
Yukon,11.54,500000
Saskatchewan,0,1000
Saskatchewan,0,1100
Saskatchewan,0,1200
Saskatchewan,0,1300
Saskatchewan,0,1400
Saskatchewan,0,1500
Saskatchewan,0,1600
Saskatchewan,0,1700
Saskatchewan,0,1800
Saskatchewan,0,1900
Saskatchewan,0,2000
Saskatchewan,0,2100
Saskatchewan,0,2200
Saskatchewan,0,2300
Saskatchewan,0,2400
Saskatchewan,0,2500
Saskatchewan,0,2600
Saskatchewan,0,2700
Saskatchewan,0,2800
Saskatchewan,0,2900
Saskatchewan,0,3000
Saskatchewan,0,3100
Saskatchewan,0,3200
Saskatchewan,0,3300
Saskatchewan,0,3400
Saskatchewan,0,3500
Saskatchewan,0,3600
Saskatchewan,0,3700
Saskatchewan,0,3800
Saskatchewan,0,3900
Saskatchewan,0,4000
Saskatchewan,0,4100
Saskatchewan,0,4200
Saskatchewan,0,4300
Saskatchewan,0,4400
Saskatchewan,0,4500
Saskatchewan,0,4600
Saskatchewan,0,4700
Saskatchewan,0,4800
Saskatchewan,0,4900
Saskatchewan,0,5000
Saskatchewan,0,5100
Saskatchewan,0,5200
Saskatchewan,0,5300
Saskatchewan,0,5400
Saskatchewan,0,5500
Saskatchewan,0,5600
Saskatchewan,0,5700
Saskatchewan,0,5800
Saskatchewan,0,5900
Saskatchewan,0,6000
Saskatchewan,0,6100
Saskatchewan,0,6200
Saskatchewan,0,6300
Saskatchewan,0,6400
Saskatchewan,0,6500
Saskatchewan,0,6600
Saskatchewan,0,6700
Saskatchewan,0,6800
Saskatchewan,0,6900
Saskatchewan,0,7000
Saskatchewan,0,7100
Saskatchewan,0,7200
Saskatchewan,0,7300
Saskatchewan,0,7400
Saskatchewan,0,7500
Saskatchewan,0,7600
Saskatchewan,0,7700
Saskatchewan,0,7800
Saskatchewan,0,7900
Saskatchewan,0,8000
Saskatchewan,0,8100
Saskatchewan,0,8200
Saskatchewan,0,8300
Saskatchewan,0,8400
Saskatchewan,0,8500
Saskatchewan,0,8600
Saskatchewan,0,8700
Saskatchewan,0,8800
Saskatchewan,0,8900
Saskatchewan,0,9000
Saskatchewan,0,9100
Saskatchewan,0,9200
Saskatchewan,0,9300
Saskatchewan,0,9400
Saskatchewan,0,9500
Saskatchewan,0,9600
Saskatchewan,0,9700
Saskatchewan,0,9800
Saskatchewan,0,9900
Saskatchewan,0,10000
Saskatchewan,0,11000
Saskatchewan,0,12000
Saskatchewan,0,13000
Saskatchewan,0,14000
Saskatchewan,0,15000
Saskatchewan,0.11,16000
Saskatchewan,0.75,17000
Saskatchewan,1.32,18000
