province,effectiveincometax,income,rankatincome
Yukon,2.89,10000,13
Yukon,4.61,11000,13
Yukon,6.32,12000,8
Yukon,8.01,13000,8
Yukon,9.45,14000,8
Yukon,10.7,15000,8
Yukon,11.8,16000,8
Yukon,12.77,17000,9
Yukon,13.63,18000,7
Yukon,14.4,19000,7
Yukon,15.09,20000,7
Yukon,15.71,21000,8
Yukon,16.28,22000,9
Yukon,16.8,23000,9
Yukon,17.28,24000,9
Yukon,17.71,25000,9
Yukon,18.12,26000,9
Yukon,18.49,27000,9
Yukon,18.84,28000,9
Yukon,19.17,29000,9
Yukon,19.47,30000,9
Yukon,19.75,31000,10
Yukon,20.02,32000,10
Yukon,20.26,33000,10
Yukon,20.5,34000,10
Yukon,20.72,35000,10
Yukon,20.93,36000,10
Yukon,21.13,37000,10
Yukon,21.31,38000,10
Yukon,21.49,39000,10
Yukon,21.65,40000,10
Yukon,21.82,41000,10
Yukon,21.97,42000,10
Yukon,22.11,43000,10
Yukon,22.25,44000,10
Yukon,22.39,45000,10
Yukon,22.64,46000,10
Yukon,22.93,47000,10
Yukon,23.21,48000,10
Yukon,23.48,49000,10
Yukon,23.74,50000,10
Yukon,23.97,51000,10
Yukon,24.17,52000,10
Yukon,24.37,53000,10
Yukon,24.56,54000,10
Yukon,24.72,55000,10
Yukon,24.82,56000,10
Yukon,24.9,57000,10
Yukon,24.97,58000,10
Yukon,25.05,59000,10
Yukon,25.12,60000,10
Yukon,25.46,65000,10
Yukon,25.75,70000,10
Yukon,26,75000,10
Yukon,26.22,80000,10
Yukon,26.41,85000,10
Yukon,26.59,90000,10
Yukon,27.09,95000,10
Yukon,27.58,100000,11
Yukon,28.02,105000,11
Yukon,28.42,110000,12
Yukon,28.79,115000,12
Yukon,29.13,120000,12
Yukon,29.44,125000,12
Yukon,29.73,130000,12
Yukon,29.99,135000,12
Yukon,30.24,140000,12
Yukon,30.63,145000,12
Yukon,31,150000,12
Yukon,31.35,155000,12
Yukon,31.67,160000,12
Yukon,31.98,165000,12
Yukon,32.26,170000,12
Yukon,32.54,175000,12
Yukon,32.8,180000,12
Yukon,33.04,185000,12
Yukon,33.27,190000,12
Yukon,33.49,195000,12
Yukon,33.7,200000,12
Yukon,34,205000,12
Yukon,34.27,210000,12
Yukon,34.54,215000,12
Yukon,34.8,220000,12
Yukon,35.04,225000,12
Yukon,35.28,230000,12
Yukon,35.5,235000,12
Yukon,35.72,240000,12
Yukon,35.92,245000,12
Yukon,36.12,250000,12
Yukon,36.31,255000,12
Yukon,36.49,260000,12
Yukon,36.66,265000,12
Yukon,36.84,270000,12
Yukon,37,275000,12
Yukon,37.16,280000,12
Yukon,37.31,285000,12
Yukon,37.46,290000,12
Yukon,37.59,295000,12
Yukon,37.73,300000,12
Yukon,37.86,305000,12
Yukon,37.99,310000,12
Yukon,38.12,315000,12
Yukon,38.23,320000,12
Yukon,38.35,325000,12
Yukon,38.46,330000,12
Yukon,38.58,335000,12
Yukon,38.68,340000,12
Yukon,38.78,345000,12
Yukon,38.88,350000,12
Yukon,38.99,355000,12
Yukon,39.08,360000,12
Yukon,39.16,365000,12
Yukon,39.26,370000,12
Yukon,39.35,375000,12
Yukon,39.43,380000,12
Yukon,39.51,385000,12
Yukon,39.59,390000,12
Yukon,39.68,395000,12
Yukon,39.75,400000,12
Yukon,39.82,405000,12
Yukon,39.89,410000,12
Yukon,39.97,415000,12
Yukon,40.04,420000,12
Yukon,40.11,425000,12
Yukon,40.17,430000,12
Yukon,40.23,435000,12
Yukon,40.3,440000,12
Yukon,40.36,445000,12
Yukon,40.42,450000,12
Yukon,40.48,455000,12
Yukon,40.54,460000,12
Yukon,40.6,465000,12
Yukon,40.65,470000,12
Yukon,40.7,475000,12
Yukon,40.76,480000,12
Yukon,40.81,485000,12
Yukon,40.86,490000,12
Yukon,40.91,495000,12
Yukon,40.96,500000,12
Saskatchewan,2.89,10000,12
Saskatchewan,4.61,11000,12
Saskatchewan,6.04,12000,12
Saskatchewan,7.26,13000,12
Saskatchewan,8.3,14000,12
Saskatchewan,9.2,15000,13
Saskatchewan,10.1,16000,12
Saskatchewan,11.44,17000,12
Saskatchewan,12.63,18000,10
Saskatchewan,13.69,19000,10
Saskatchewan,14.65,20000,10
Saskatchewan,15.51,21000,9
Saskatchewan,16.3,22000,8
Saskatchewan,17.01,23000,8
Saskatchewan,17.68,24000,8
Saskatchewan,18.28,25000,8
Saskatchewan,18.84,26000,7
Saskatchewan,19.36,27000,7
Saskatchewan,19.84,28000,7
Saskatchewan,20.29,29000,7
Saskatchewan,20.71,30000,7
Saskatchewan,21.1,31000,7
Saskatchewan,21.46,32000,7
Saskatchewan,21.81,33000,6
Saskatchewan,22.13,34000,6
Saskatchewan,22.44,35000,6
Saskatchewan,22.73,36000,6
Saskatchewan,23,37000,6
Saskatchewan,23.25,38000,6
Saskatchewan,23.5,39000,6
Saskatchewan,23.73,40000,6
Saskatchewan,23.96,41000,6
Saskatchewan,24.17,42000,7
Saskatchewan,24.37,43000,7
Saskatchewan,24.56,44000,7
Saskatchewan,24.76,45000,7
Saskatchewan,25.07,46000,7
Saskatchewan,25.39,47000,7
Saskatchewan,25.7,48000,7
Saskatchewan,26,49000,7
Saskatchewan,26.29,50000,7
Saskatchewan,26.55,51000,7
Saskatchewan,26.78,52000,7
Saskatchewan,27.01,53000,7
Saskatchewan,27.22,54000,7
Saskatchewan,27.41,55000,6
Saskatchewan,27.53,56000,6
Saskatchewan,27.63,57000,6
Saskatchewan,27.73,58000,6
Saskatchewan,27.82,59000,6
Saskatchewan,27.92,60000,6
Saskatchewan,28.35,65000,6
Saskatchewan,28.72,70000,6
Saskatchewan,29.04,75000,6
Saskatchewan,29.32,80000,6
Saskatchewan,29.56,85000,6
Saskatchewan,29.78,90000,6
Saskatchewan,30.24,95000,6
Saskatchewan,30.68,100000,7
Saskatchewan,31.07,105000,7
Saskatchewan,31.42,110000,7
Saskatchewan,31.76,115000,7
Saskatchewan,32.06,120000,7
Saskatchewan,32.34,125000,7
Saskatchewan,32.63,130000,7
Saskatchewan,32.94,135000,7
Saskatchewan,33.23,140000,7
Saskatchewan,33.6,145000,6
Saskatchewan,33.94,150000,6
Saskatchewan,34.27,155000,6
Saskatchewan,34.57,160000,6
Saskatchewan,34.86,165000,6
Saskatchewan,35.12,170000,6
Saskatchewan,35.38,175000,6
Saskatchewan,35.62,180000,6
Saskatchewan,35.85,185000,6
Saskatchewan,36.06,190000,6
Saskatchewan,36.26,195000,6
Saskatchewan,36.46,200000,6
Saskatchewan,36.74,205000,6
Saskatchewan,37,210000,6
Saskatchewan,37.26,215000,6
Saskatchewan,37.5,220000,6
Saskatchewan,37.74,225000,6
Saskatchewan,37.97,230000,6
Saskatchewan,38.17,235000,6
Saskatchewan,38.38,240000,6
Saskatchewan,38.57,245000,7
Saskatchewan,38.77,250000,6
Saskatchewan,38.95,255000,7
Saskatchewan,39.12,260000,7
Saskatchewan,39.28,265000,7
Saskatchewan,39.45,270000,7
Saskatchewan,39.61,275000,7
Saskatchewan,39.76,280000,7
Saskatchewan,39.9,285000,7
Saskatchewan,40.04,290000,7
Saskatchewan,40.17,295000,7
Saskatchewan,40.3,300000,7
Saskatchewan,40.43,305000,7
Saskatchewan,40.55,310000,7
Saskatchewan,40.67,315000,7
Saskatchewan,40.78,320000,7
Saskatchewan,40.9,325000,7
Saskatchewan,41,330000,7
Saskatchewan,41.11,335000,7
Saskatchewan,41.21,340000,7
Saskatchewan,41.31,345000,7
Saskatchewan,41.4,350000,7
Saskatchewan,41.5,355000,7
Saskatchewan,41.59,360000,7
Saskatchewan,41.67,365000,7
Saskatchewan,41.76,370000,7
Saskatchewan,41.85,375000,7
