provyear,province,year,effectiveincometax,incomeadjusted
Yukon 2016,Yukon,2016,0,1000
Yukon 2016,Yukon,2016,0,1100
Yukon 2016,Yukon,2016,0,1200
Yukon 2016,Yukon,2016,0,1300
Yukon 2016,Yukon,2016,0,1400
Yukon 2016,Yukon,2016,0,1500
Yukon 2016,Yukon,2016,0,1600
Yukon 2016,Yukon,2016,0,1700
Yukon 2016,Yukon,2016,0,1800
Yukon 2016,Yukon,2016,0,1900
Yukon 2016,Yukon,2016,0,2000
Yukon 2016,Yukon,2016,0,2100
Yukon 2016,Yukon,2016,0,2200
Yukon 2016,Yukon,2016,0,2300
Yukon 2016,Yukon,2016,0,2400
Yukon 2016,Yukon,2016,0,2500
Yukon 2016,Yukon,2016,0,2600
Yukon 2016,Yukon,2016,0,2700
Yukon 2016,Yukon,2016,0,2800
Yukon 2016,Yukon,2016,0,2900
Yukon 2016,Yukon,2016,0,3000
Yukon 2016,Yukon,2016,0,3100
Yukon 2016,Yukon,2016,0,3200
Yukon 2016,Yukon,2016,0,3300
Yukon 2016,Yukon,2016,0,3400
Yukon 2016,Yukon,2016,0,3500
Yukon 2016,Yukon,2016,0,3600
Yukon 2016,Yukon,2016,0,3700
Yukon 2016,Yukon,2016,0,3800
Yukon 2016,Yukon,2016,0,3900
Yukon 2016,Yukon,2016,0,4000
Yukon 2016,Yukon,2016,0,4100
Yukon 2016,Yukon,2016,0,4200
Yukon 2016,Yukon,2016,0,4300
Yukon 2016,Yukon,2016,0,4400
Yukon 2016,Yukon,2016,0,4500
Yukon 2016,Yukon,2016,0,4600
Yukon 2016,Yukon,2016,0,4700
Yukon 2016,Yukon,2016,0,4800
Yukon 2016,Yukon,2016,0,4900
Yukon 2016,Yukon,2016,0,5000
Yukon 2016,Yukon,2016,0,5100
Yukon 2016,Yukon,2016,0,5200
Yukon 2016,Yukon,2016,0,5300
Yukon 2016,Yukon,2016,0,5400
Yukon 2016,Yukon,2016,0,5500
Yukon 2016,Yukon,2016,0,5600
Yukon 2016,Yukon,2016,0,5700
Yukon 2016,Yukon,2016,0,5800
Yukon 2016,Yukon,2016,0,5900
Yukon 2016,Yukon,2016,0,6000
Yukon 2016,Yukon,2016,0,6100
Yukon 2016,Yukon,2016,0,6200
Yukon 2016,Yukon,2016,0,6300
Yukon 2016,Yukon,2016,0,6400
Yukon 2016,Yukon,2016,0,6500
Yukon 2016,Yukon,2016,0,6600
Yukon 2016,Yukon,2016,0,6700
Yukon 2016,Yukon,2016,0,6800
Yukon 2016,Yukon,2016,0,6900
Yukon 2016,Yukon,2016,0,7000
Yukon 2016,Yukon,2016,0,7100
Yukon 2016,Yukon,2016,0,7200
Yukon 2016,Yukon,2016,0,7300
Yukon 2016,Yukon,2016,0,7400
Yukon 2016,Yukon,2016,0,7500
Yukon 2016,Yukon,2016,0,7600
Yukon 2016,Yukon,2016,0,7700
Yukon 2016,Yukon,2016,0,7800
Yukon 2016,Yukon,2016,0,7900
Yukon 2016,Yukon,2016,0,8000
Yukon 2016,Yukon,2016,0,8100
Yukon 2016,Yukon,2016,0,8200
Yukon 2016,Yukon,2016,0,8300
Yukon 2016,Yukon,2016,0,8400
Yukon 2016,Yukon,2016,0,8500
Yukon 2016,Yukon,2016,0,8600
Yukon 2016,Yukon,2016,0.06,8700
Yukon 2016,Yukon,2016,0.3,8800
Yukon 2016,Yukon,2016,0.55,8900
Yukon 2016,Yukon,2016,0.78,9000
Yukon 2016,Yukon,2016,1.01,9100
Yukon 2016,Yukon,2016,1.24,9200
Yukon 2016,Yukon,2016,1.46,9300
